va_facility_code,va_facility_name,school_level_va,retention_rate_veteran_ba,retention_rate_veteran_otb,persistance_rate_veteran_ba,persistance_rate_veteran_otb,graduation_rate_veteran,transfer_out_rate_veteran
25115205,ADVANCED CAREER INSTITUTE,NCD,,0.368,,0.526,,
31003737,CORBAN UNIVERSITY,4-year,1.0,,1.0,,,
31912137,MULTNOMAH UNIVERSITY,4-year,1.0,,1.0,,,
31805529,SOUTHERN NEW HAMPSHIRE UNIVERSITY-NASHUA,4-year,0.851,0.923,0.917,1.0,,
31328047,EMBRY-RIDDLE AERONAUTICAL UNIVERSITY-WORLDWIDE,4-year,0.832,0.683,0.903,0.857,,
31289247,PARK UNIVERSITY,4-year,0.688,0.655,0.81,0.828,,
31010906,DENVER SEMINARY,4-year,,,,,,
31904118,LOUISIANA COLLEGE,4-year,,0.0,,0.0,,
31825115,WILLIAM PENN UNIVERSITY COLLEGE FOR WORKING ADULTS,4-year,,1.0,,1.0,,
31026943,NORTHWOOD UNIVERSITY-FORT WORTH,4-year,0.556,,0.556,,,
31804040,COKER COLLEGE,4-year,0.75,,1.0,,,
14924433,MCDOWELL TECHNICAL COMMUNITY COLLEGE,2-year,,1.0,,1.0,0.0,0.667
14921130,WARREN COUNTY COMMUNITY COLLEGE,2-year,,0.75,,0.75,0.286,0.429
14946432,HERKIMER COUNTY COMMUNITY COLLEGE,2-year,,0.5,,0.833,0.25,0.125
11937138,PENNSYLVANIA STATE UNIVERSITY-PENN STATE WORTHINGTON SCRANTON,4-year,1.0,1.0,1.0,1.0,,
14002601,BEVILL STATE COMMUNITY COLLEGE-FAYETTE,2-year,,0.867,,0.933,0.15,0.4
11805322,CENTRAL MICHIGAN UNIVERSITY GLOBAL CAMPUS-TROY,4-year,0.9,,0.95,,,
